SECOND,COUNTER,F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4,GYRO_X,GYRO_Y
0,8,504,-608,294,-30,-348,-418,501,-389,110,638,-247,434,42,-265,0,0
0,9,512,-602,302,-23,-350,-424,504,-289,146,660,-196,487,66,-224,0,0
0,10,507,-604,291,-25,-346,-420,502,-290,126,647,-205,469,57,-241,0,0
0,11,508,-609,295,-30,-350,-418,494,-346,98,627,-227,448,42,-257,0,0
0,12,500,-609,294,-34,-347,-420,493,-395,80,624,-254,424,29,-278,0,0
0,13,500,-605,294,-30,-345,-423,500,-390,98,638,-254,427,36,-273,0,0
0,14,513,-606,300,-29,-352,-420,502,-311,139,652,-208,472,61,-229,0,0
0,15,510,-607,293,-34,-352,-417,500,-299,121,643,-211,465,55,-238,0,0
0,16,511,-607,301,-28,-350,-422,500,-329,102,641,-228,454,51,-254,0,0
0,17,508,-604,300,-25,-350,-421,500,-363,95,639,-243,437,47,-268,0,0
0,18,508,-601,292,-26,-350,-417,501,-386,86,631,-249,430,42,-272,0,0
0,19,512,-602,299,-26,-348,-419,502,-350,108,641,-227,457,50,-246,0,0
0,20,503,-606,295,-32,-349,-421,501,-349,112,643,-236,443,40,-257,0,0
0,21,511,-606,296,-31,-352,-419,505,-341,119,645,-221,458,47,-249,0,0
0,22,517,-603,299,-28,-348,-416,508,-309,124,647,-203,471,51,-240,0,0
0,23,507,-607,300,-28,-346,-418,501,-330,102,641,-223,442,40,-259,0,0
0,24,503,-612,307,-30,-350,-423,496,-354,97,638,-233,444,48,-262,0,0
0,25,498,-609,297,-31,-346,-419,499,-398,88,626,-259,428,40,-282,0,0
0,26,506,-606,301,-28,-345,-416,500,-382,112,639,-237,445,46,-258,0,0
0,27,506,-608,304,-32,-348,-417,501,-299,143,657,-194,485,66,-222,0,0
0,28,496,-608,292,-36,-343,-416,500,-304,117,646,-214,465,56,-248,0,0
0,29,508,-607,301,-33,-344,-423,500,-351,91,638,-233,446,43,-264,0,0
0,30,506,-609,299,-35,-348,-422,499,-412,73,628,-262,419,27,-281,0,0
0,31,504,-605,295,-33,-351,-421,501,-396,102,635,-243,436,39,-261,0,0
0,32,514,-600,298,-28,-348,-421,509,-289,149,661,-181,484,69,-220,0,0
0,33,508,-605,294,-31,-349,-417,508,-285,122,651,-199,465,60,-242,0,0
0,34,505,-611,299,-35,-357,-420,494,-348,88,633,-240,445,43,-264,0,0
0,35,502,-609,296,-32,-348,-420,493,-406,74,626,-265,422,28,-278,0,0
0,36,511,-603,300,-30,-341,-418,506,-399,97,632,-248,428,34,-266,0,0
0,37,517,-603,309,-29,-348,-419,507,-312,138,653,-200,475,61,-230,0,0
0,38,504,-605,295,-28,-347,-418,501,-300,120,650,-212,462,56,-240,0,0
0,39,508,-608,298,-29,-348,-423,504,-331,103,640,-228,449,46,-248,0,0
0,40,507,-612,299,-32,-348,-423,508,-366,96,633,-243,434,40,-264,0,0
0,41,502,-610,293,-29,-345,-417,501,-389,90,635,-251,428,35,-275,0,0
0,42,507,-605,300,-27,-345,-417,495,-347,114,645,-222,460,45,-248,0,0
0,43,500,-607,292,-29,-345,-417,497,-345,114,639,-230,451,44,-254,0,0
0,44,506,-605,292,-28,-348,-417,499,-344,115,644,-229,457,51,-252,0,0
0,45,505,-601,296,-31,-346,-417,502,-317,124,650,-215,467,53,-245,0,0
0,46,498,-600,298,-32,-341,-419,502,-336,108,640,-232,445,40,-262,0,0
0,47,508,-608,307,-26,-348,-424,496,-361,98,634,-239,443,42,-264,0,0
0,48,504,-612,296,-27,-351,-421,496,-400,85,628,-251,418,32,-281,0,0
0,49,507,-607,302,-29,-347,-418,501,-373,108,643,-228,438,45,-258,0,0
0,50,513,-605,310,-30,-344,-418,501,-291,141,659,-196,482,66,-222,0,0
0,51,507,-603,299,-27,-349,-418,505,-306,118,643,-216,460,54,-244,0,0
0,52,511,-606,299,-26,-357,-422,504,-360,93,633,-226,443,45,-264,0,0
0,53,505,-608,293,-33,-351,-420,495,-412,78,628,-257,420,29,-287,0,0
0,54,505,-604,297,-28,-351,-420,498,-389,106,637,-249,438,40,-265,0,0
0,55,512,-606,299,-23,-352,-421,507,-288,148,656,-186,482,67,-221,0,0
0,56,505,-610,288,-30,-345,-418,501,-291,120,646,-200,461,54,-243,0,0
0,57,506,-609,301,-31,-350,-423,504,-355,87,629,-239,444,42,-262,0,0
0,58,502,-607,301,-29,-354,-421,506,-404,78,619,-264,419,34,-276,0,0
0,59,504,-608,296,-30,-350,-418,500,-393,99,632,-249,427,44,-266,0,0
0,60,511,-604,303,-30,-348,-419,507,-318,137,658,-208,476,67,-231,0,0
0,61,503,-598,298,-28,-351,-416,509,-308,124,652,-218,462,57,-243,0,0
