F3,F3_pos,FC5,FC5_pos,AF3,AF3_pos,F7,F7_pos,T7,T7_pos,P7,P7_pos,O1,O1_pos,O2,O2_pos,P8,P8_pos,T8,T8_pos,F8,F8_pos,AF4,AF4_pos,FC6,FC6_pos,F4,F4_pos,Direction
26.50,4,19.56,0,60.11,36,68.89,40,24.17,0,32.72,4,19.06,22,34.39,40,32.11,4,38.17,36,88.89,36,48.33,35,72.67,36,52.17,40,left
15.56,4,7.00,4,14.67,9,64.83,36,13.50,26,21.67,41,2.94,42,11.72,41,28.33,40,40.67,19,19.33,22,-15.00,0,35.06,22,31.56,22,forward
80.61,14,110.00,44,134.22,14,-27.06,10,37.94,0,19.72,36,15.94,35,5.11,13,-4.83,24,84.22,24,224.94,13,182.72,14,126.39,13,94.00,14,forward
5.94,1,25.17,35,25.67,31,263.50,25,16.83,35,4.00,14,3.44,35,8.72,38,45.28,37,-42.78,1,16.39,2,55.61,30,65.78,3,37.33,3,forward
2.72,29,-40.61,21,33.00,20,273.61,43,0.72,30,10.72,44,31.06,23,38.94,24,17.72,23,33.33,20,47.94,23,99.78,46,33.72,23,19.56,23,left
11.56,45,59.89,43,15.94,45,10.56,5,29.61,44,7.78,44,31.44,44,27.61,44,-4.89,9,27.78,44,35.00,44,13.50,12,29.50,44,28.56,45,left
31.44,4,33.89,4,34.50,5,-54.28,43,29.00,44,31.50,37,47.94,45,58.00,44,26.28,44,4.78,15,42.56,16,36.00,5,42.39,6,26.78,5,left
44.44,28,72.67,36,16.83,25,180.50,29,23.78,44,41.17,38,28.83,43,24.61,42,31.72,42,43.33,0,75.11,13,117.94,43,44.22,13,29.44,28,left
6.39,38,85.39,44,24.94,38,53.78,8,36.56,44,10.50,2,8.44,42,22.94,2,51.94,2,26.00,29,47.39,9,29.67,44,13.39,9,31.50,37,stop
18.78,20,69.72,20,8.56,35,42.50,24,29.94,15,31.11,15,20.11,26,24.06,9,94.22,30,24.22,27,80.72,35,37.56,35,48.61,6,40.33,21,stop
13.89,39,39.78,41,72.67,39,-6.44,1,17.44,6,10.28,36,19.33,11,23.00,36,94.67,37,33.11,37,56.94,38,32.22,40,54.67,28,41.72,37,forward
9.89,10,9.89,17,39.11,16,153.22,42,0.72,40,-5.83,34,17.83,40,-43.22,3,6.28,35,12.67,2,65.89,3,20.00,25,40.22,20,21.83,22,stop
12.50,11,34.17,42,41.17,46,31.78,7,41.00,42,36.06,46,63.17,46,59.28,46,70.72,42,58.33,41,40.50,9,8.72,6,21.61,9,26.61,32,right
40.78,33,14.00,25,37.06,46,24.11,25,34.17,21,51.33,36,40.78,39,39.06,40,66.00,40,62.06,46,48.83,46,49.33,46,46.06,33,22.89,46,right
186.78,7,175.28,7,201.11,7,306.39,11,192.44,7,192.39,7,190.67,7,212.17,7,201.50,7,205.11,8,191.00,9,181.72,7,199.28,8,191.17,7,forward
42.83,0,37.72,14,46.28,40,107.28,14,49.89,14,43.44,15,34.28,40,31.56,17,46.17,7,50.94,7,63.61,27,11.89,7,45.28,7,43.61,41,stop
44.61,35,50.72,9,63.72,35,1.22,29,32.50,12,92.72,29,15.28,11,32.72,29,34.50,29,62.72,29,83.06,32,28.72,36,33.22,31,22.94,36,stop
14.28,16,12.44,16,45.67,16,53.17,22,15.22,36,10.83,0,11.06,0,17.06,0,18.72,31,21.06,8,53.89,29,17.00,16,43.67,29,45.28,31,right
40.61,46,6.56,5,23.89,46,100.11,46,29.50,35,43.06,46,57.94,46,47.72,34,65.56,46,73.72,46,81.94,45,32.00,10,51.83,10,34.94,9,right
53.33,42,-13.28,8,-30.00,11,72.44,45,44.61,45,19.11,40,63.94,46,77.72,46,95.06,46,108.78,46,106.00,42,34.61,46,66.50,43,62.44,46,right
16.33,36,34.06,21,36.06,42,-5.33,4,-10.61,7,19.94,7,4.72,36,15.28,7,54.39,35,25.61,14,62.22,38,38.50,38,24.50,38,38.61,35,left
7.72,0,9.39,26,1.83,26,57.83,17,25.94,9,33.72,14,23.22,38,34.06,17,38.39,16,27.11,5,51.17,17,13.33,16,25.61,17,21.22,16,right
47.89,44,33.78,23,23.33,45,2.61,5,20.06,24,-2.56,4,24.11,25,20.17,18,5.00,19,5.72,24,6.67,0,13.39,23,8.56,39,45.44,45,left
27.28,3,-1.67,4,67.11,36,318.89,44,13.67,43,13.28,17,12.17,1,29.39,32,30.94,32,75.78,43,64.83,43,40.17,2,39.06,36,44.67,36,stop
68.83,28,26.61,19,23.67,26,-0.44,11,10.22,2,26.17,23,18.28,34,40.39,33,34.72,32,6.11,2,4.56,25,-14.44,26,16.17,26,16.28,26,right
9.78,31,0.61,0,47.50,44,17.72,44,20.17,5,19.11,36,19.22,5,33.17,5,17.61,4,-49.50,0,-16.94,0,11.94,44,22.11,11,22.39,44,right
5.94,15,14.22,8,19.44,15,137.06,45,56.11,46,65.06,42,44.00,46,51.89,44,33.61,22,27.39,18,26.11,17,20.56,31,35.17,17,19.89,25,forward
49.83,35,19.67,34,62.00,35,87.72,42,25.11,11,29.22,41,40.39,43,45.89,42,55.56,45,73.28,42,77.22,42,13.56,42,60.39,38,67.72,41,forward
10.22,10,-11.83,23,-6.78,3,119.72,46,30.00,30,-2.28,6,7.56,7,19.83,6,18.78,6,6.06,7,-2.50,4,-10.72,3,-1.44,3,8.50,11,forward
-2.78,18,-15.72,5,43.00,12,547.78,46,-6.94,0,15.56,0,18.56,0,17.50,1,67.72,45,303.78,1,-243.06,0,89.22,28,-25.67,0,4.44,0,right
49.00,42,28.44,40,10.56,42,-21.00,1,30.56,9,30.00,40,-0.61,0,0.28,26,3.72,39,27.00,39,44.17,42,19.00,42,29.39,40,34.11,28,right
16.28,24,37.50,38,11.39,44,25.44,25,67.00,38,10.28,13,29.22,30,34.78,30,35.94,30,16.89,23,22.94,23,6.61,25,33.56,23,26.67,23,left
24.17,16,-12.94,21,31.44,21,30.17,12,-12.11,46,31.67,30,29.72,21,37.89,19,28.50,22,41.50,20,27.44,21,9.44,12,18.00,23,24.50,20,left
29.67,0,-4.94,0,37.61,32,163.17,30,29.50,35,15.50,26,8.61,26,8.06,26,23.06,32,4.28,22,26.06,21,26.89,20,28.11,20,12.56,20,stop
2.39,6,19.11,43,18.94,7,-20.28,0,17.00,45,21.44,8,-2.56,7,-1.56,8,28.72,25,18.06,23,47.72,23,30.00,23,37.50,23,5.17,6,left
